144,CARCHARGING,1300 NW 17th Ave,Delray Beach,FL,33445,US,ChargePoint Network,J1772 NEMA520,
145,OUC,400 S Orange Ave,Orlando,FL,32801,US,ChargePoint Network,J1772,
146,HALFPRICE BOOKS,5801 E Northwest Hwy,Dallas,TX,75231,US,ChargePoint Network,J1772 NEMA520,
147,TUCSON RENTAL,9855 E Speedway Blvd,Tucson,AZ,85748,US,ChargePoint Network,J1772 NEMA520,
148,SOUTHCOASTPLAZA,3333 Bear St,Costa Mesa,CA,92626,US,ChargePoint Network,J1772,
149,MARTINEZ CA,680 Court St,Martinez,CA,94553,US,ChargePoint Network,J1772 NEMA520,
150,Hyatt Regency - Denver,650 15th St,Denver,CO,80202,US,Non-Networked,NEMA520,
151,Whole Foods Market,150 Ledge Rd,Darien,CT,6820,US,Non-Networked,NEMA520,
152,MILLENNIUM GRGS,5 S Columbus Dr,Chicago,IL,60601,US,ChargePoint Network,NEMA520,
153,ARUNDEL MILLS,7522 Teague Rd,Hanover,MD,21076,US,ChargePoint Network,NEMA520,
154,Element Hotels - Ewing,1000 Sam Weinroth Rd,Ewing,NJ,8628,US,Non-Networked,J1772,
155,Lane Community College,4000 E 30th Ave,Eugene,OR,97405,US,Non-Networked,J1772 NEMA520,SOLAR
156,CARDISFURNITURE,1681 Quaker Ln,West Warwick,RI,2893,US,ChargePoint Network,J1772 NEMA520,
157,BROOKFIELD PROP,1600 Smith St,Houston,TX,77002,US,ChargePoint Network,J1772 NEMA520,
158,BROOKFIELD PROP,300 Clay St,Houston,TX,77002,US,ChargePoint Network,J1772,
159,CITY OF HOUSTON,3915 Rustic Woods Dr,Houston,TX,77339,US,ChargePoint Network,NEMA520,
160,OPALCO,469 Market St,Eastsound,WA,98245,US,ChargePoint Network,J1772 NEMA520,
161,OPALCO,162 Weeks Rd,Lopez Island,WA,98261,US,ChargePoint Network,J1772 NEMA520,
162,SUQUAMISH MASI,16285 Washington 305,Poulsbo,WA,98370,US,ChargePoint Network,J1772 NEMA520,
163,Hudson Valley Community College - TEC-SMART Building,345 Hermes Rd,Malta,NY,12020,US,Non-Networked,NEMA520,
164,Rabobank - Goleta,5956 Calle Real,Goleta,CA,93117,US,Non-Networked,TESLA,SOLAR
165,INTERPARK,17 E Adams St,Chicago,IL,60603,US,ChargePoint Network,J1772 NEMA520,
166,INTERPARK,211 W Adams St,Chicago,IL,60606,US,ChargePoint Network,J1772,
167,INTERPARK,230 W Washington St,Chicago,IL,60606,US,ChargePoint Network,J1772,
168,INTERPARK,20 E Randolph St,Chicago,IL,60601,US,ChargePoint Network,J1772 NEMA520,
169,INTERPARK,177 N Wells St,Chicago,IL,60606,US,ChargePoint Network,J1772 NEMA520,
170,INTERPARK,50 E Ohio St,Chicago,IL,60611,US,ChargePoint Network,J1772 NEMA520,
171,City of Spartanburg - Municipal Parking Garage,100 Dunbar St,Spartanburg,SC,29306,US,Non-Networked,J1772,
172,City of Spartanburg - Municipal Parking Garage,130 E Saint John St,Spartanburg,SC,29306,US,Non-Networked,J1772,
173,Union Town Hall,101 Sharpe Ave,Union,SC,29379,US,Non-Networked,J1772,
174,Whole Foods Market,350 Grasmere Ave,Fairfield,CT,6824,US,Non-Networked,J1772,
175,Propark America - Omni Hotel Chapel Square Garage,155 Temple St,New Haven,CT,6510,US,Non-Networked,J1772 NEMA520,
176,Air Rights Garage,60 York St,New Haven,CT,6511,US,Non-Networked,J1772,
177,City of New Haven - Temple Street Garage,1 Temple St,New Haven,CT,6510,US,Non-Networked,J1772,
178,City of New Haven - Union Station Garage,50 Union Ave,New Haven,CT,6511,US,Non-Networked,J1772,
179,Propark - Water Street Garage,161 Water St,New London,CT,6320,US,Non-Networked,J1772 NEMA520,
180,Norwich Public Utilities,157 N Main St,Norwich,CT,6360,US,Non-Networked,J1772,
181,Town of Westport - Westport Metro North,1 Railroad Pl,Westport,CT,6880,US,Non-Networked,J1772 NEMA520,
